week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 8,Sep 12,2011,Whirling Dervishes,Team Ramrod,74.98,124.46,106.06,95.83,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=1&mid2=2
1,Sep 8,Sep 12,2011,Team Ramrod,Whirling Dervishes,124.46,74.98,95.83,106.06,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=1&mid2=2week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,108.30,126.28,85.59,92.77,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,126.28,108.30,92.77,85.59,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 8,Sep 12,2011,Touch Me Gingerly,Amish Rakefighters,118.22,83.78,88.43,92.82,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=4&mid2=6
1,Sep 8,Sep 12,2011,Amish Rakefighters,Touch Me Gingerly,83.78,118.22,92.82,88.43,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=4&mid2=6week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 8,Sep 12,2011,Whirling Dervishes,Team Ramrod,74.98,124.46,106.06,95.83,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=1&mid2=2
1,Sep 8,Sep 12,2011,Team Ramrod,Whirling Dervishes,124.46,74.98,95.83,106.06,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=1&mid2=2week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,108.30,126.28,85.59,92.77,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,126.28,108.30,92.77,85.59,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5